feature,coef,std_err,z,p_value,IRR,IRR_minus_1_pct
carrier_Mainline,0.6545524539385164,504208.0521922751,1.2981792954169419e-06,0.999998964202783,1.9242811201967516,92.42811201967515
const,2.309011867180016,,,,10.06447470211662,906.447470211662
fleet_type_A320-200,0.11744916508644958,0.13974144273449804,0.8404748282840996,0.4006422092762769,1.124624458303473,12.462445830347303
fleet_type_A321-2NX,-0.04787581945878809,0.15136833520940657,-0.3162868865047339,0.7517847637134388,0.9532521550963816,-4.674784490361839
fleet_type_B737-700,-0.07033578096944032,0.14079168459689534,-0.4995734028669427,0.6173754895985567,0.9320807923624872,-6.79192076375128
fleet_type_B737-800,0.08148289682309798,0.12620417323010072,0.645643442190576,0.5185102963913975,1.0848946622799938,8.489466227999376
fleet_type_B737-900,0.15372359649143078,0.11898998878997188,1.291903613528083,0.19639052618855946,1.1661685091598248,16.616850915982482
fleet_type_B737-MAX8,-0.2513458814235007,0.18283194229216618,-1.3747372492594812,0.16921291859346121,0.7777533146071502,-22.224668539284977
fleet_type_B737-MAX9,-0.2600384783118995,0.17098506411872433,-1.5208256911337035,0.1283035854783974,0.7710219176109517,-22.897808238904826
fleet_type_B757-200,0.7023659744417112,0.1934497659167558,3.6307408856930294,0.00028260880110519884,2.0185228356837976,101.85228356837976
fleet_type_B757-300,0.6104104206239218,0.16148008098292224,3.7800973154607065,0.00015676707359782438,1.8411869048116336,84.11869048116336
fleet_type_B767-300,0.5742309020276066,0.36719477256035904,1.5638319086724342,0.11785704862961097,1.775764264891133,77.57642648911329
fleet_type_B767-400,-0.2473877348881393,6.305613515466678,-0.03923293653842502,0.9687046742827111,0.7808378767420597,-21.916212325794028
fleet_type_B777-2HD,0.27512993889058546,0.5279900662189565,0.5210892334790435,0.6023046107793626,1.316701754517645,31.670175451764493
fleet_type_B777-300,-1.3550010154354832,0.17022274493278422,-7.960164289270108,1.718109992769358e-15,0.25794703252312307,-74.2052967476877
fleet_type_B787-10,0.3312860817514107,0.20132492011027955,1.6455294335641235,0.0998606779648162,1.3927581780188956,39.27581780188956
fleet_type_B787-8,0.11429013255578162,0.25045772912632913,0.45632503718076306,0.6481562623563148,1.1210773387378252,12.107733873782522
fleet_type_B787-9,0.2515991234353727,0.5236637963164195,0.480459266432362,0.6309008607250146,1.2860803744508291,28.608037445082914
fleet_type_CRJ-200,0.5228969508853253,1961545.622862419,2.665739429105294e-07,0.9999997873047667,1.6869074660692507,68.69074660692507
fleet_type_CRJ-550,0.7541656045475387,,,,2.1258369944080027,112.58369944080027
fleet_type_ERJ-170,-0.11785254481670426,,,,0.8888271051158977,-11.117289488410231
fleet_type_ERJ-175,0.4952494026252745,836075.3147015583,5.923502272065723e-07,0.9999995273728991,1.6409074346497294,64.09074346497295
hot_transfer_bags,0.004184257924444969,0.002852648574141159,1.4667975447009678,0.14243113783100192,1.0041930241540915,0.4193024154091507
hour_of_day,0.11825800923251861,0.006794169404027683,17.405808156978473,7.454652105193984e-68,1.1255344721931884,12.553447219318837
load_factor_proxy,-1.8593210206544692,0.19046472540866635,-9.762022950260521,1.638536580322212e-22,0.1557783647603538,-84.42216352396463
ssr_rate,5.494644293592748,81.17682173299195,0.06768735430004659,0.9460345160303154,243.38493717987177,24238.493717987178
turn_buffer,-0.00020115098190661427,0.00021362164827507394,-0.9416226470062548,0.34638587073084814,0.9997988692475958,-0.020113075240424383
wchr_rate,-2.352389685960398,77.28810122719123,-0.030436634470362538,0.9757188282984203,0.0951415319582886,-90.48584680417115
